section_id,constitution_id,year_th,topic,theme,theme_score
const_2475_s_27,const_2475,2475,35,อื่น ๆ (emergent),1.0
const_2475_s_28,const_2475,2475,95,พรรคการเมืองและการเลือกตั้ง,1.0
const_2475_s_29,const_2475,2475,-1,สถาบันพระมหากษัตริย์,1.0
const_2475_s_30,const_2475,2475,93,สถาบันพระมหากษัตริย์,0.3333333333333333
const_2475_s_30,const_2475,2475,93,นิติบัญญัติ,0.3333333333333333
const_2475_s_30,const_2475,2475,93,บริหาร,0.3333333333333333
const_2475_s_31,const_2475,2475,-1,สถาบันพระมหากษัตริย์,0.30000000000000004
const_2475_s_31,const_2475,2475,-1,แนวนโยบายแห่งรัฐ,0.4
const_2475_s_31,const_2475,2475,-1,นิติบัญญัติ,0.30000000000000004
const_2475_s_32,const_2475,2475,71,สิทธิ-เสรีภาพ-หน้าที่,0.25531914893617025
const_2475_s_32,const_2475,2475,71,แนวนโยบายแห่งรัฐ,0.425531914893617
const_2475_s_32,const_2475,2475,71,นิติบัญญัติ,0.3191489361702128
const_2475_s_33,const_2475,2475,16,นิติบัญญัติ,0.5
const_2475_s_33,const_2475,2475,16,ตุลาการ,0.5
const_2475_s_34,const_2475,2475,16,อื่น ๆ (emergent),1.0
const_2475_s_35,const_2475,2475,32,สถาบันพระมหากษัตริย์,0.35714285714285715
const_2475_s_35,const_2475,2475,32,นิติบัญญัติ,0.35714285714285715
const_2475_s_35,const_2475,2475,32,พรรคการเมืองและการเลือกตั้ง,0.28571428571428575
const_2475_s_36,const_2475,2475,83,นิติบัญญัติ,1.0
const_2475_s_37,const_2475,2475,-1,อื่น ๆ (emergent),1.0
const_2475_s_38,const_2475,2475,46,สถาบันพระมหากษัตริย์,0.3333333333333333
const_2475_s_38,const_2475,2475,46,นิติบัญญัติ,0.3333333333333333
const_2475_s_38,const_2475,2475,46,บริหาร,0.3333333333333333
const_2475_s_39,const_2475,2475,84,สถาบันพระมหากษัตริย์,0.5
const_2475_s_39,const_2475,2475,84,บริหาร,0.5
const_2475_s_40,const_2475,2475,57,สิทธิ-เสรีภาพ-หน้าที่,0.28571428571428575
const_2475_s_40,const_2475,2475,57,นิติบัญญัติ,0.35714285714285715
const_2475_s_40,const_2475,2475,57,บริหาร,0.35714285714285715
const_2475_s_41,const_2475,2475,52,สิทธิ-เสรีภาพ-หน้าที่,0.4444444444444445
const_2475_s_41,const_2475,2475,52,บริหาร,0.5555555555555556
const_2475_s_42,const_2475,2475,17,นิติบัญญัติ,0.5
const_2475_s_42,const_2475,2475,17,บริหาร,0.5
const_2475_s_43,const_2475,2475,85,นิติบัญญัติ,1.0
const_2475_s_44,const_2475,2475,17,อื่น ๆ (emergent),1.0
const_2475_s_45,const_2475,2475,51,นิติบัญญัติ,1.0
const_2475_s_46,const_2475,2475,20,สถาบันพระมหากษัตริย์,0.3333333333333333
const_2475_s_46,const_2475,2475,20,บริหาร,0.6666666666666666
const_2475_s_47,const_2475,2475,19,นิติบัญญัติ,0.5
const_2475_s_47,const_2475,2475,19,บริหาร,0.5
const_2475_s_48,const_2475,2475,91,สิทธิ-เสรีภาพ-หน้าที่,0.28571428571428575
const_2475_s_48,const_2475,2475,91,นิติบัญญัติ,0.35714285714285715
const_2475_s_48,const_2475,2475,91,บริหาร,0.35714285714285715
const_2475_s_49,const_2475,2475,2,นิติบัญญัติ,0.5
const_2475_s_49,const_2475,2475,2,บริหาร,0.5
const_2475_s_50,const_2475,2475,40,นิติบัญญัติ,0.3333333333333333
const_2475_s_50,const_2475,2475,40,บริหาร,0.6666666666666666
const_2475_s_51,const_2475,2475,-1,นิติบัญญัติ,0.5
const_2475_s_51,const_2475,2475,-1,บริหาร,0.5
const_2475_s_52,const_2475,2475,63,สถาบันพระมหากษัตริย์,0.5
const_2475_s_52,const_2475,2475,63,นิติบัญญัติ,0.5
const_2475_s_53,const_2475,2475,29,สถาบันพระมหากษัตริย์,1.0
const_2475_s_54,const_2475,2475,-1,สถาบันพระมหากษัตริย์,0.5
const_2475_s_54,const_2475,2475,-1,นิติบัญญัติ,0.5
const_2475_s_55,const_2475,2475,29,สถาบันพระมหากษัตริย์,1.0
const_2475_s_56,const_2475,2475,29,สถาบันพระมหากษัตริย์,1.0
const_2475_s_57,const_2475,2475,45,บริหาร,1.0
const_2475_s_58,const_2475,2475,-1,สถาบันพระมหากษัตริย์,0.5
const_2475_s_58,const_2475,2475,-1,ตุลาการ,0.5
const_2475_s_59,const_2475,2475,-1,ตุลาการ,1.0
const_2475_s_60,const_2475,2475,-1,อื่น ๆ (emergent),1.0
const_2475_s_61,const_2475,2475,-1,อื่น ๆ (emergent),1.0
const_2475_s_62,const_2475,2475,-1,สิทธิ-เสรีภาพ-หน้าที่,0.4444444444444445
const_2475_s_62,const_2475,2475,-1,นิติบัญญัติ,0.5555555555555556
const_2475_s_63,const_2475,2475,44,นิติบัญญัติ,0.5
const_2475_s_63,const_2475,2475,44,บริหาร,0.5
const_2475_s_65,const_2475,2475,5,สถาบันพระมหากษัตริย์,0.2777777777777778
const_2475_s_65,const_2475,2475,5,สิทธิ-เสรีภาพ-หน้าที่,0.22222222222222224
const_2475_s_65,const_2475,2475,5,นิติบัญญัติ,0.2777777777777778
const_2475_s_65,const_2475,2475,5,พรรคการเมืองและการเลือกตั้ง,0.22222222222222224
const_2475_s_66,const_2475,2475,33,พรรคการเมืองและการเลือกตั้ง,1.0
const_2475_s_67,const_2475,2475,-1,อื่น ๆ (emergent),1.0
const_2475_s_68,const_2475,2475,5,นิติบัญญัติ,1.0
const_2482_s_1,const_2482,2482,62,อื่น ๆ (emergent),1.0
const_2482_s_2,const_2482,2482,41,อื่น ๆ (emergent),1.0
const_2482_s_3,const_2482,2482,5,บริหาร,1.0
const_2483_s_1,const_2483,2483,62,อื่น ๆ (emergent),1.0
const_2483_s_2,const_2483,2483,41,อื่น ๆ (emergent),1.0
const_2483_s_3,const_2483,2483,5,สถาบันพระมหากษัตริย์,0.2631578947368421
const_2483_s_3,const_2483,2483,5,นิติบัญญัติ,0.2631578947368421
const_2483_s_3,const_2483,2483,5,บริหาร,0.2631578947368421
const_2483_s_3,const_2483,2483,5,พรรคการเมืองและการเลือกตั้ง,0.2105263157894737
const_2485_s_1,const_2485,2485,5,พรรคการเมืองและการเลือกตั้ง,1.0
const_2485_s_2,const_2485,2485,5,อื่น ๆ (emergent),1.0
const_2485_s_3,const_2485,2485,-1,บริหาร,0.5555555555555556
const_2485_s_3,const_2485,2485,-1,พรรคการเมืองและการเลือกตั้ง,0.4444444444444445
const_2489_s_1,const_2489,2489,6,อื่น ๆ (emergent),1.0
const_2489_s_2,const_2489,2489,70,สถาบันพระมหากษัตริย์,1.0
const_2489_s_3,const_2489,2489,6,สถาบันพระมหากษัตริย์,1.0
const_2489_s_4,const_2489,2489,-1,สถาบันพระมหากษัตริย์,1.0
const_2489_s_5,const_2489,2489,6,สถาบันพระมหากษัตริย์,1.0
const_2489_s_6,const_2489,2489,76,สถาบันพระมหากษัตริย์,0.5
const_2489_s_6,const_2489,2489,76,นิติบัญญัติ,0.5
const_2489_s_7,const_2489,2489,76,สถาบันพระมหากษัตริย์,0.3333333333333333
const_2489_s_7,const_2489,2489,76,บริหาร,0.6666666666666666
const_2489_s_8,const_2489,2489,76,สถาบันพระมหากษัตริย์,0.5
const_2489_s_8,const_2489,2489,76,ตุลาการ,0.5
const_2489_s_9,const_2489,2489,75,สถาบันพระมหากษัตริย์,0.5
const_2489_s_9,const_2489,2489,75,นิติบัญญัติ,0.5
const_2489_s_10,const_2489,2489,8,สถาบันพระมหากษัตริย์,0.5
const_2489_s_10,const_2489,2489,8,นิติบัญญัติ,0.5
const_2489_s_11,const_2489,2489,8,อื่น ๆ (emergent),1.0
const_2489_s_12,const_2489,2489,-1,อื่น ๆ (emergent),1.0
const_2489_s_13,const_2489,2489,99,สิทธิ-เสรีภาพ-หน้าที่,1.0
const_2489_s_14,const_2489,2489,61,สิทธิ-เสรีภาพ-หน้าที่,1.0
const_2489_s_15,const_2489,2489,-1,สิทธิ-เสรีภาพ-หน้าที่,1.0
const_2489_s_16,const_2489,2489,1,อื่น ๆ (emergent),1.0
const_2489_s_17,const_2489,2489,39,นิติบัญญัติ,1.0
const_2489_s_18,const_2489,2489,83,นิติบัญญัติ,1.0
const_2489_s_19,const_2489,2489,83,อื่น ๆ (emergent),1.0
const_2489_s_20,const_2489,2489,46,นิติบัญญัติ,0.5
const_2489_s_20,const_2489,2489,46,บริหาร,0.5
const_2489_s_21,const_2489,2489,84,สถาบันพระมหากษัตริย์,0.3333333333333333
const_2489_s_21,const_2489,2489,84,นิติบัญญัติ,0.3333333333333333
const_2489_s_21,const_2489,2489,84,บริหาร,0.3333333333333333
const_2489_s_22,const_2489,2489,90,บริหาร,1.0
const_2489_s_23,const_2489,2489,39,อื่น ๆ (emergent),1.0
const_2489_s_24,const_2489,2489,-1,พรรคการเมืองและการเลือกตั้ง,1.0
const_2489_s_25,const_2489,2489,26,นิติบัญญัติ,0.5555555555555556
const_2489_s_25,const_2489,2489,26,พรรคการเมืองและการเลือกตั้ง,0.4444444444444445
const_2489_s_26,const_2489,2489,2,สิทธิ-เสรีภาพ-หน้าที่,0.3076923076923077
const_2489_s_26,const_2489,2489,2,นิติบัญญัติ,0.3846153846153846
const_2489_s_26,const_2489,2489,2,พรรคการเมืองและการเลือกตั้ง,0.3076923076923077
const_2489_s_27,const_2489,2489,7,พรรคการเมืองและการเลือกตั้ง,1.0
const_2489_s_28,const_2489,2489,-1,นิติบัญญัติ,1.0
const_2489_s_29,const_2489,2489,23,พรรคการเมืองและการเลือกตั้ง,1.0
const_2489_s_30,const_2489,2489,37,พรรคการเมืองและการเลือกตั้ง,1.0
const_2489_s_31,const_2489,2489,2,พรรคการเมืองและการเลือกตั้ง,1.0
const_2489_s_32,const_2489,2489,32,สถาบันพระมหากษัตริย์,0.5555555555555556
const_2489_s_32,const_2489,2489,32,พรรคการเมืองและการเลือกตั้ง,0.4444444444444445
const_2489_s_33,const_2489,2489,7,พรรคการเมืองและการเลือกตั้ง,1.0
const_2489_s_34,const_2489,2489,52,สิทธิ-เสรีภาพ-หน้าที่,0.4444444444444445
const_2489_s_34,const_2489,2489,52,บริหาร,0.5555555555555556
const_2489_s_35,const_2489,2489,39,อื่น ๆ (emergent),1.0
const_2489_s_36,const_2489,2489,82,สิทธิ-เสรีภาพ-หน้าที่,1.0
const_2489_s_37,const_2489,2489,31,อื่น ๆ (emergent),1.0
const_2489_s_38,const_2489,2489,30,อื่น ๆ (emergent),1.0
const_2489_s_39,const_2489,2489,31,พรรคการเมืองและการเลือกตั้ง,1.0
const_2489_s_40,const_2489,2489,17,อื่น ๆ (emergent),1.0
const_2489_s_41,const_2489,2489,11,อื่น ๆ (emergent),1.0
const_2489_s_42,const_2489,2489,35,อื่น ๆ (emergent),1.0
const_2489_s_43,const_2489,2489,39,อื่น ๆ (emergent),1.0
const_2489_s_44,const_2489,2489,95,พรรคการเมืองและการเลือกตั้ง,1.0
const_2489_s_45,const_2489,2489,-1,สถาบันพระมหากษัตริย์,1.0
const_2489_s_46,const_2489,2489,93,สถาบันพระมหากษัตริย์,1.0
const_2489_s_47,const_2489,2489,-1,สถาบันพระมหากษัตริย์,1.0
const_2489_s_48,const_2489,2489,71,สิทธิ-เสรีภาพ-หน้าที่,1.0
const_2489_s_49,const_2489,2489,16,ตุลาการ,1.0
const_2489_s_50,const_2489,2489,16,อื่น ๆ (emergent),1.0
const_2489_s_51,const_2489,2489,16,ตุลาการ,1.0
const_2489_s_52,const_2489,2489,-1,นิติบัญญัติ,1.0
const_2489_s_53,const_2489,2489,42,บริหาร,1.0
const_2489_s_54,const_2489,2489,36,อื่น ๆ (emergent),1.0
const_2489_s_55,const_2489,2489,-1,อื่น ๆ (emergent),1.0
const_2489_s_56,const_2489,2489,-1,อื่น ๆ (emergent),1.0
const_2489_s_57,const_2489,2489,57,สิทธิ-เสรีภาพ-หน้าที่,0.4444444444444445
const_2489_s_57,const_2489,2489,57,บริหาร,0.5555555555555556
const_2489_s_58,const_2489,2489,17,บริหาร,1.0
const_2489_s_59,const_2489,2489,85,อื่น ๆ (emergent),1.0
const_2489_s_60,const_2489,2489,17,อื่น ๆ (emergent),1.0
const_2489_s_61,const_2489,2489,51,อื่น ๆ (emergent),1.0
const_2489_s_62,const_2489,2489,89,สถาบันพระมหากษัตริย์,0.2631578947368421
const_2489_s_62,const_2489,2489,89,นิติบัญญัติ,0.2631578947368421
const_2489_s_62,const_2489,2489,89,บริหาร,0.2631578947368421
const_2489_s_62,const_2489,2489,89,พรรคการเมืองและการเลือกตั้ง,0.2105263157894737
const_2489_s_63,const_2489,2489,23,นิติบัญญัติ,1.0
const_2489_s_64,const_2489,2489,39,นิติบัญญัติ,1.0
const_2489_s_65,const_2489,2489,11,นิติบัญญัติ,1.0
const_2489_s_66,const_2489,2489,20,สถาบันพระมหากษัตริย์,0.3333333333333333
const_2489_s_66,const_2489,2489,20,นิติบัญญัติ,0.3333333333333333
const_2489_s_66,const_2489,2489,20,บริหาร,0.3333333333333333
const_2489_s_67,const_2489,2489,100,บริหาร,1.0
const_2489_s_68,const_2489,2489,91,สิทธิ-เสรีภาพ-หน้าที่,0.28571428571428575
const_2489_s_68,const_2489,2489,91,นิติบัญญัติ,0.35714285714285715
const_2489_s_68,const_2489,2489,91,บริหาร,0.35714285714285715
const_2489_s_69,const_2489,2489,40,นิติบัญญัติ,0.3333333333333333
const_2489_s_69,const_2489,2489,40,บริหาร,0.6666666666666666
const_2489_s_70,const_2489,2489,-1,นิติบัญญัติ,0.5
const_2489_s_70,const_2489,2489,-1,บริหาร,0.5
const_2489_s_71,const_2489,2489,7,บริหาร,1.0
const_2489_s_72,const_2489,2489,63,สถาบันพระมหากษัตริย์,0.5
const_2489_s_72,const_2489,2489,63,นิติบัญญัติ,0.5
const_2489_s_73,const_2489,2489,78,สถาบันพระมหากษัตริย์,0.3333333333333333
const_2489_s_73,const_2489,2489,78,นิติบัญญัติ,0.3333333333333333
const_2489_s_73,const_2489,2489,78,บริหาร,0.3333333333333333
const_2489_s_74,const_2489,2489,29,สถาบันพระมหากษัตริย์,1.0
const_2489_s_75,const_2489,2489,11,สถาบันพระมหากษัตริย์,0.5
const_2489_s_75,const_2489,2489,11,นิติบัญญัติ,0.5
const_2489_s_76,const_2489,2489,-1,สถาบันพระมหากษัตริย์,0.5
const_2489_s_76,const_2489,2489,-1,นิติบัญญัติ,0.5
const_2489_s_77,const_2489,2489,64,สถาบันพระมหากษัตริย์,1.0
const_2489_s_78,const_2489,2489,29,สถาบันพระมหากษัตริย์,1.0
const_2489_s_79,const_2489,2489,45,บริหาร,1.0
const_2489_s_80,const_2489,2489,-1,ตุลาการ,1.0
const_2489_s_81,const_2489,2489,-1,ตุลาการ,1.0
const_2489_s_82,const_2489,2489,25,ตุลาการ,1.0
const_2489_s_83,const_2489,2489,37,อื่น ๆ (emergent),1.0
const_2489_s_84,const_2489,2489,9,ตรวจสอบอำนาจรัฐ/ต้านทุจริต,1.0
const_2489_s_85,const_2489,2489,44,นิติบัญญัติ,0.5
const_2489_s_85,const_2489,2489,44,บริหาร,0.5
const_2489_s_86,const_2489,2489,11,สิทธิ-เสรีภาพ-หน้าที่,0.4444444444444445
const_2489_s_86,const_2489,2489,11,นิติบัญญัติ,0.5555555555555556
const_2489_s_87,const_2489,2489,-1,อื่น ๆ (emergent),1.0
const_2489_s_88,const_2489,2489,87,ตุลาการ,1.0
const_2489_s_89,const_2489,2489,4,นิติบัญญัติ,0.5555555555555556
const_2489_s_89,const_2489,2489,4,พรรคการเมืองและการเลือกตั้ง,0.4444444444444445
const_2489_s_90,const_2489,2489,92,สิทธิ-เสรีภาพ-หน้าที่,0.3076923076923077
const_2489_s_90,const_2489,2489,92,นิติบัญญัติ,0.3846153846153846
const_2489_s_90,const_2489,2489,92,พรรคการเมืองและการเลือกตั้ง,0.3076923076923077
const_2489_s_91,const_2489,2489,-1,พรรคการเมืองและการเลือกตั้ง,1.0
const_2489_s_92,const_2489,2489,33,พรรคการเมืองและการเลือกตั้ง,1.0
const_2489_s_93,const_2489,2489,33,พรรคการเมืองและการเลือกตั้ง,1.0
const_2489_s_94,const_2489,2489,-1,นิติบัญญัติ,0.5555555555555556
const_2489_s_94,const_2489,2489,-1,พรรคการเมืองและการเลือกตั้ง,0.4444444444444445
const_2489_s_95,const_2489,2489,77,บริหาร,1.0
const_2489_s_96,const_2489,2489,78,สถาบันพระมหากษัตริย์,0.2631578947368421
const_2489_s_96,const_2489,2489,78,บริหาร,0.5263157894736842
const_2489_s_96,const_2489,2489,78,พรรคการเมืองและการเลือกตั้ง,0.2105263157894737
const_2490a_s_1,const_2490a,2490,6,อื่น ๆ (emergent),1.0
const_2490a_s_2,const_2490a,2490,70,สถาบันพระมหากษัตริย์,1.0
const_2490a_s_3,const_2490a,2490,6,สถาบันพระมหากษัตริย์,1.0
const_2490a_s_4,const_2490a,2490,-1,สถาบันพระมหากษัตริย์,1.0
const_2490a_s_5,const_2490a,2490,6,สถาบันพระมหากษัตริย์,1.0
const_2490a_s_6,const_2490a,2490,56,สถาบันพระมหากษัตริย์,0.3333333333333333
const_2490a_s_6,const_2490a,2490,56,นิติบัญญัติ,0.6666666666666666
const_2490a_s_7,const_2490a,2490,56,สถาบันพระมหากษัตริย์,0.5
const_2490a_s_7,const_2490a,2490,56,บริหาร,0.5
const_2490a_s_8,const_2490a,2490,76,สถาบันพระมหากษัตริย์,0.5
const_2490a_s_8,const_2490a,2490,76,ตุลาการ,0.5
const_2490a_s_9,const_2490a,2490,-1,สถาบันพระมหากษัตริย์,1.0
const_2490a_s_10,const_2490a,2490,8,สถาบันพระมหากษัตริย์,0.5
const_2490a_s_10,const_2490a,2490,8,บริหาร,0.5
const_2490a_s_11,const_2490a,2490,8,สถาบันพระมหากษัตริย์,0.5
const_2490a_s_11,const_2490a,2490,8,บริหาร,0.5
const_2490a_s_12,const_2490a,2490,75,สถาบันพระมหากษัตริย์,0.5
const_2490a_s_12,const_2490a,2490,75,นิติบัญญัติ,0.5
const_2490a_s_13,const_2490a,2490,-1,สถาบันพระมหากษัตริย์,0.5
const_2490a_s_13,const_2490a,2490,-1,บริหาร,0.5
const_2490a_s_14,const_2490a,2490,82,สถาบันพระมหากษัตริย์,1.0
const_2490a_s_15,const_2490a,2490,20,อื่น ๆ (emergent),1.0
const_2490a_s_16,const_2490a,2490,7,อื่น ๆ (emergent),1.0
const_2490a_s_17,const_2490a,2490,-1,บริหาร,1.0
const_2490a_s_18,const_2490a,2490,29,อื่น ๆ (emergent),1.0
const_2490a_s_19,const_2490a,2490,20,อื่น ๆ (emergent),1.0
const_2490a_s_20,const_2490a,2490,1,ตรวจสอบอำนาจรัฐ/ต้านทุจริต,1.0
const_2490a_s_21,const_2490a,2490,-1,อื่น ๆ (emergent),1.0
const_2490a_s_22,const_2490a,2490,99,สิทธิ-เสรีภาพ-หน้าที่,1.0
const_2490a_s_23,const_2490a,2490,61,สิทธิ-เสรีภาพ-หน้าที่,1.0
const_2490a_s_24,const_2490a,2490,41,สิทธิ-เสรีภาพ-หน้าที่,1.0
const_2490a_s_25,const_2490a,2490,1,อื่น ๆ (emergent),1.0
const_2490a_s_26,const_2490a,2490,23,นิติบัญญัติ,1.0
const_2490a_s_27,const_2490a,2490,83,นิติบัญญัติ,1.0
const_2490a_s_28,const_2490a,2490,25,อื่น ๆ (emergent),1.0
const_2490a_s_29,const_2490a,2490,46,นิติบัญญัติ,0.5
const_2490a_s_29,const_2490a,2490,46,บริหาร,0.5
const_2490a_s_30,const_2490a,2490,84,สถาบันพระมหากษัตริย์,0.3333333333333333
const_2490a_s_30,const_2490a,2490,84,นิติบัญญัติ,0.3333333333333333
const_2490a_s_30,const_2490a,2490,84,บริหาร,0.3333333333333333
const_2490a_s_31,const_2490a,2490,28,นิติบัญญัติ,0.5
const_2490a_s_31,const_2490a,2490,28,บริหาร,0.5
const_2490a_s_32,const_2490a,2490,39,นิติบัญญัติ,1.0
const_2490a_s_33,const_2490a,2490,-1,สถาบันพระมหากษัตริย์,0.35714285714285715
const_2490a_s_33,const_2490a,2490,-1,นิติบัญญัติ,0.35714285714285715
const_2490a_s_33,const_2490a,2490,-1,พรรคการเมืองและการเลือกตั้ง,0.28571428571428575
const_2490a_s_34,const_2490a,2490,2,นิติบัญญัติ,1.0
const_2490a_s_35,const_2490a,2490,7,อื่น ๆ (emergent),1.0
const_2490a_s_36,const_2490a,2490,-1,นิติบัญญัติ,1.0
const_2490a_s_37,const_2490a,2490,23,พรรคการเมืองและการเลือกตั้ง,1.0
const_2490a_s_38,const_2490a,2490,26,พรรคการเมืองและการเลือกตั้ง,1.0
const_2490a_s_39,const_2490a,2490,2,พรรคการเมืองและการเลือกตั้ง,1.0
const_2490a_s_40,const_2490a,2490,32,สถาบันพระมหากษัตริย์,0.5555555555555556
const_2490a_s_40,const_2490a,2490,32,พรรคการเมืองและการเลือกตั้ง,0.4444444444444445
const_2490a_s_41,const_2490a,2490,7,พรรคการเมืองและการเลือกตั้ง,1.0
const_2490a_s_42,const_2490a,2490,52,สิทธิ-เสรีภาพ-หน้าที่,0.4444444444444445
const_2490a_s_42,const_2490a,2490,52,บริหาร,0.5555555555555556
const_2490a_s_43,const_2490a,2490,39,นิติบัญญัติ,1.0
const_2490a_s_44,const_2490a,2490,82,นิติบัญญัติ,1.0
const_2490a_s_45,const_2490a,2490,31,นิติบัญญัติ,1.0
const_2490a_s_46,const_2490a,2490,30,นิติบัญญัติ,1.0
const_2490a_s_47,const_2490a,2490,31,นิติบัญญัติ,0.5555555555555556
const_2490a_s_47,const_2490a,2490,31,พรรคการเมืองและการเลือกตั้ง,0.4444444444444445
const_2490a_s_48,const_2490a,2490,17,นิติบัญญัติ,1.0
const_2490a_s_49,const_2490a,2490,11,อื่น ๆ (emergent),1.0
const_2490a_s_50,const_2490a,2490,35,อื่น ๆ (emergent),1.0
const_2490a_s_51,const_2490a,2490,39,นิติบัญญัติ,1.0
const_2490a_s_52,const_2490a,2490,95,พรรคการเมืองและการเลือกตั้ง,1.0
const_2490a_s_53,const_2490a,2490,-1,สถาบันพระมหากษัตริย์,1.0
const_2490a_s_54,const_2490a,2490,93,สถาบันพระมหากษัตริย์,0.5
const_2490a_s_54,const_2490a,2490,93,นิติบัญญัติ,0.5
const_2490a_s_55,const_2490a,2490,-1,สถาบันพระมหากษัตริย์,1.0
const_2490a_s_56,const_2490a,2490,71,สิทธิ-เสรีภาพ-หน้าที่,0.4444444444444445
const_2490a_s_56,const_2490a,2490,71,นิติบัญญัติ,0.5555555555555556
const_2490a_s_57,const_2490a,2490,16,นิติบัญญัติ,0.5
const_2490a_s_57,const_2490a,2490,16,ตุลาการ,0.5
const_2490a_s_58,const_2490a,2490,16,นิติบัญญัติ,1.0
const_2490a_s_59,const_2490a,2490,16,นิติบัญญัติ,0.5
const_2490a_s_59,const_2490a,2490,16,ตุลาการ,0.5
const_2490a_s_60,const_2490a,2490,-1,นิติบัญญัติ,1.0
const_2490a_s_61,const_2490a,2490,42,นิติบัญญัติ,0.5
const_2490a_s_61,const_2490a,2490,42,บริหาร,0.5
const_2490a_s_62,const_2490a,2490,36,นิติบัญญัติ,1.0
const_2490a_s_63,const_2490a,2490,-1,อื่น ๆ (emergent),1.0
const_2490a_s_64,const_2490a,2490,-1,นิติบัญญัติ,1.0
const_2490a_s_65,const_2490a,2490,57,สิทธิ-เสรีภาพ-หน้าที่,0.28571428571428575
const_2490a_s_65,const_2490a,2490,57,นิติบัญญัติ,0.35714285714285715
const_2490a_s_65,const_2490a,2490,57,บริหาร,0.35714285714285715
const_2490a_s_66,const_2490a,2490,17,นิติบัญญัติ,0.5
const_2490a_s_66,const_2490a,2490,17,บริหาร,0.5
const_2490a_s_67,const_2490a,2490,85,นิติบัญญัติ,1.0
const_2490a_s_68,const_2490a,2490,17,อื่น ๆ (emergent),1.0
const_2490a_s_69,const_2490a,2490,51,นิติบัญญัติ,1.0
const_2490a_s_70,const_2490a,2490,89,สถาบันพระมหากษัตริย์,0.3333333333333333
const_2490a_s_70,const_2490a,2490,89,นิติบัญญัติ,0.3333333333333333
const_2490a_s_70,const_2490a,2490,89,บริหาร,0.3333333333333333
const_2490a_s_71,const_2490a,2490,23,นิติบัญญัติ,1.0
const_2490a_s_72,const_2490a,2490,39,นิติบัญญัติ,1.0
const_2490a_s_73,const_2490a,2490,11,นิติบัญญัติ,1.0
const_2490a_s_74,const_2490a,2490,20,สถาบันพระมหากษัตริย์,0.5
const_2490a_s_74,const_2490a,2490,20,บริหาร,0.5
const_2490a_s_75,const_2490a,2490,100,บริหาร,1.0
